CustomerID,Name,Region,JoinDate,CustomerType,CustomerTenureYears
1000,Robert Gomez,West,2/25/2024,Introductory,1
1001,John Silva,East,12/1/2020,Loyal,5
1002,Mark Marshall,Central,8/8/2020,Loyal,5
1003,David Brennan,North,5/21/2020,Loyal,5
1004,Kerry Collins,North,9/12/2023,Mid-level,2
1005,Jessica Mora,South,8/5/2021,Loyal,4
1006,Hannah Ray,West,7/3/2021,Loyal,4
1007,David Kim,West,5/20/2020,Loyal,5
1008,William Ramirez,EAST,9/15/2023,Mid-level,2
1009,Zachary Bell Jr.,East,4/20/2023,Mid-level,2
1010,Mike Davis,East,3/23/2022,Mid-level,3
1011,Amanda Myers,West,9/5/2021,Loyal,4
1012,Tara Miller,North,8/10/2020,Loyal,5
1013,Alyssa Morgan,North,7/22/2022,Mid-level,3
1014,Cindy Woods,East,4/2/2024,Introductory,1
1015,Jennifer Rodgers,North,2/12/2023,Mid-level,2
1016,Andrea Roberts,EAST,5/16/2021,Loyal,4
1017,Brittney Burnett,North,7/3/2020,Loyal,5
1018,Edwin Garrison,south-west,8/31/2020,Loyal,5
1019,Michelle Torres,Central,11/18/2020,Loyal,5
1020,Michelle Brewer,East,7/14/2021,Loyal,4
1021,Aaron Burnett,South,2/13/2024,Introductory,1
1022,Austin Gutierrez,EAST,11/25/2021,Loyal,4
1023,Dustin Medina,east,6/14/2021,Loyal,4
1024,Andres Avila,Central,9/19/2022,Mid-level,3
1025,Garrett Lewis,South,8/4/2023,Mid-level,2
1026,Gary Walls,North,10/5/2023,Mid-level,2
1027,Anthony Schroeder,east,10/4/2020,Loyal,5
1028,Haley Wagner,West,11/3/2023,Mid-level,2
1029,Gina Powers,West,10/26/2022,Mid-level,3
1030,Alice Robinson,EAST,8/6/2021,Loyal,4
1031,Jessica Frazier,West,10/20/2021,Loyal,4
1032,Terri Long,east,10/23/2022,Mid-level,3
1033,Paul Perkins,east,3/16/2022,Mid-level,3
1034,Heather Smith,Central,9/16/2022,Mid-level,3
